"Usage","ID","NomSize","Grade","fisWidth","fisDepth","fisLength","mmWidth","mmDepth","mmLength","Qty-Stk","Qty-Ord","$Each","File"
"Wl","221","5/8x4x9","Denseglass","10sx","4ft","9ft","15.875","1219.2","2743.2","","","",""
"Wl","225","3/16x4x9","EnergyBrace","3sx","4ft","9ft","4.7625","1219.2","2743.2","","","",""
"Wl","226","1/2x4x9","EnergyBrace","8sx","4ft","9ft","12.7","1219.2","2743.2","","","",""
"Wl","224","5/8x4x9","FC Ext.Sheathing","10sx","4ft","9ft","15.875","1219.2","2743.2","","","",""
"Wl","223","5/8x4x8","FCExt.Sheathing","10sx","4ft","8ft","15.875","1219.2","2438.4","","","",""
"Bm","171","1-3/4x9-1/4x22ft","LVL2.0e","1in12sx","9in4sx","22ft","44.45","234.95","6705.6","","","",""
"Bm","172","1-3/4x9-1/2x22ft","LVL2.0e","1in12sx","9in8sx","22ft","44.45","241.3","6705.6","","","",""
"Bm","173","1-3/4x11-7/8x22ft","LVL2.0e","1in12sx","11in14sx","22ft","44.45","301.625","6705.6","","","",""
"Bm","174","1-3/4x14x22ft","LVL2.0e","1in12sx","14in","22ft","44.45","355.6","6705.6","","","",""
"Bm","175","1-3/4x16x22ft","LVL2.0e","1in12sx","16in","22ft","44.45","406.4","6705.6","","","",""
"Bm","176","1-3/4x18x22ft","LVL2.0e","1in12sx","18in","22ft","44.45","457.2","6705.6","","","",""
"Bm","177","1-3/4x22x22ft","LVL2.0e","1in12sx","22in","22ft","44.45","558.8","6705.6","","","",""
"Bm","178","1-3/4x24x22ft","LVL2.0e","1in12sx","24in","22ft","44.45","609.6","6705.6","","","",""
"Wl Bm","215","7/16x4x8","OSB","7sx","4ft","8ft","11.1125","1219.2","2438.4","","","",""
"Wl Bm","216","7/16x4x9","OSB","7sx","4ft","9ft","11.1125","1219.2","2743.2","","","",""
"Wl Bm","217","7/16x4x10","OSB","7sx","4ft","10ft","11.1125","1219.2","3048","","","",""
"Bm Pst","204","3-1/2x3-1/2x22ft","P-Lam","3in8sx","3in8sx","22ft","88.9","88.9","6705.6","","","",""
"Bm Pst","206","3-1/2x5-1/2x22ft","P-Lam","3in8sx","5in8sx","22ft","88.9","139.7","6705.6","","","",""
"Bm Pst","211","3-1/2x16x22ft","P-Lam","3in8sx","16in","22ft","88.9","406.4","6705.6","","","",""
"Bm Pst","212","5-1/4x5-1//4x22ft","P-Lam","5in4sx","5in4sx","22ft","133.35","133.35","6705.6","","","",""
"Bm Pst","213","5-1/2x5-1/2x22ft","P-Lam","5in8sx","5in8sx","22ft","139.7","139.7","6705.6","","","",""
"Wl","123","2x4x2ft","SPF","1in8sx","3in8sx","2ft","38.1","88.9","609.6","1","4","1.79","2x4SPFStud_2400.obj"
"Wl","124","2x4x4ft","SPF","1in8sx","3in8sx","4ft","38.1","88.9","1219.2","1","4","1.79","2x4SPFStud_2400.obj"
